seed,nonce,scenario,baseline,profit_policy_v6,profit_policy_v8,profit_policy_v9,profit_policy_v10,profit_policy_v11,q_policy_v6,q_policy_v8,q_policy_v9,q_policy_v10,q_policy_v11,best,gain_over_v11,n_tied,error
987654,1,CONGESTED,41057.013504291994,155756.5032550325,153620.17785649718,153620.17785649718,153620.17785649718,155495.02700652723,2.793663736305527,2.7416305946777273,2.7416305946777273,2.7416305946777273,2.7872951228536116,policy_v6,0.006368613451915195,1,
123,88,DENSE,25385.425198988345,336038.89681647974,336038.89681647974,471736.09559963114,484530.37804109696,484530.37804109696,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,97,MULTIDAY,13134.069004835304,317402.2794045694,317402.2794045694,383796.9599559162,363718.8650003,363718.8650003,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,5,BASELINE,6717.0546462141565,39355.095800346484,40862.9592422947,40862.9592422947,40862.9592422947,40755.80833518166,4.858981036825223,5.0834638676406,5.0834638676406,5.0834638676406,5.067511800441403,policy_v8,0.015952067199197728,3,
123,89,CAPSTONE,12955.8446816942,801685.4575678356,801685.4575678356,801685.4575678356,801685.4575678356,801685.4575678356,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,6,CONGESTED,11618.514735215234,88565.25618711456,91833.85600836536,91833.85600836536,91833.85600836536,93155.67443711974,6.622769192008181,6.904096013504778,6.904096013504778,6.904096013504778,7.0178642927353625,policy_v11,0.0,1,
987654,2,MULTIDAY,10053.530370786586,256120.57186588988,256120.57186588988,351489.0367054747,366165.29863851954,366165.29863851954,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,93,DENSE,11635.878642505482,326308.12626051385,326308.12626051385,576905.2630149344,578938.7346466361,578938.7346466361,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
987654,10,BASELINE,39906.54920140796,54089.731490365004,54722.59565312045,54722.59565312045,54722.59565312045,54849.64150488226,0.3554098906678013,0.371268544833701,0.371268544833701,0.371268544833701,0.37445212883935947,policy_v11,0.0,1,
123,94,CAPSTONE,46298.28954766664,627349.1921848187,627349.1921848187,627349.1921848187,627349.1921848187,627349.1921848187,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
